goos: linux
goarch: amd64
pkg: github.com/qursa-uc3m/dnssec_pqc_plugin/bench
cpu: 12th Gen Intel(R) Core(TM) i5-12500T
BenchmarkSign/ECDSA-P256-12         	  154449	     33183 ns/op	    7580 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	  205680	     34006 ns/op	    7580 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	  173617	     32513 ns/op	    7580 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	  184987	     30567 ns/op	    7580 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	  215052	     29849 ns/op	    7580 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	  174265	     37494 ns/op	    7580 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	  123984	     40531 ns/op	    7580 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	  173299	     32430 ns/op	    7580 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	  196426	     30154 ns/op	    7580 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	  202596	     29642 ns/op	    7580 B/op	      58 allocs/op
BenchmarkSign/Ed25519-12            	  230422	     23426 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	  251751	     23912 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	  241252	     24041 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	  247915	     23867 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	  250497	     23712 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	  263692	     24196 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	  254449	     24974 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	  258157	     24358 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	  254828	     23851 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	  242749	     24620 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Falcon-512-12         	   28148	    208383 ns/op	    8480 B/op	      18 allocs/op
BenchmarkSign/Falcon-512-12         	   27838	    207911 ns/op	    8480 B/op	      18 allocs/op
BenchmarkSign/Falcon-512-12         	   28364	    212858 ns/op	    8480 B/op	      18 allocs/op
BenchmarkSign/Falcon-512-12         	   28856	    210275 ns/op	    8480 B/op	      18 allocs/op
BenchmarkSign/Falcon-512-12         	   28438	    210175 ns/op	    8480 B/op	      18 allocs/op
BenchmarkSign/Falcon-512-12         	   28062	    212568 ns/op	    8480 B/op	      18 allocs/op
BenchmarkSign/Falcon-512-12         	   27609	    213519 ns/op	    8480 B/op	      18 allocs/op
BenchmarkSign/Falcon-512-12         	   28069	    227067 ns/op	    8480 B/op	      18 allocs/op
BenchmarkSign/Falcon-512-12         	   27277	    214996 ns/op	    8480 B/op	      18 allocs/op
BenchmarkSign/Falcon-512-12         	   28431	    211201 ns/op	    8480 B/op	      18 allocs/op
BenchmarkSign/Falcon-1024-12        	   14376	    411083 ns/op	   12320 B/op	      18 allocs/op
BenchmarkSign/Falcon-1024-12        	   13590	    430511 ns/op	   12320 B/op	      18 allocs/op
BenchmarkSign/Falcon-1024-12        	   14841	    406917 ns/op	   12320 B/op	      18 allocs/op
BenchmarkSign/Falcon-1024-12        	   14112	    434768 ns/op	   12320 B/op	      18 allocs/op
BenchmarkSign/Falcon-1024-12        	   14032	    441091 ns/op	   12320 B/op	      18 allocs/op
BenchmarkSign/Falcon-1024-12        	   14191	    435757 ns/op	   12320 B/op	      18 allocs/op
BenchmarkSign/Falcon-1024-12        	   13807	    408314 ns/op	   12320 B/op	      18 allocs/op
BenchmarkSign/Falcon-1024-12        	   14244	    418584 ns/op	   12320 B/op	      18 allocs/op
BenchmarkSign/Falcon-1024-12        	   15038	    396521 ns/op	   12320 B/op	      18 allocs/op
BenchmarkSign/Falcon-1024-12        	   14835	    409192 ns/op	   12320 B/op	      18 allocs/op
BenchmarkSign/ML-DSA-44-12          	   67766	     75746 ns/op	   16776 B/op	      18 allocs/op
BenchmarkSign/ML-DSA-44-12          	   77653	     75422 ns/op	   16776 B/op	      18 allocs/op
BenchmarkSign/ML-DSA-44-12          	   79213	     77378 ns/op	   16776 B/op	      18 allocs/op
BenchmarkSign/ML-DSA-44-12          	   75176	     82328 ns/op	   16776 B/op	      18 allocs/op
BenchmarkSign/ML-DSA-44-12          	   77734	     78282 ns/op	   16776 B/op	      18 allocs/op
BenchmarkSign/ML-DSA-44-12          	   77553	     82339 ns/op	   16776 B/op	      18 allocs/op
BenchmarkSign/ML-DSA-44-12          	   73066	     78084 ns/op	   16776 B/op	      18 allocs/op
BenchmarkSign/ML-DSA-44-12          	   77362	     77950 ns/op	   16776 B/op	      18 allocs/op
BenchmarkSign/ML-DSA-44-12          	   70837	     80134 ns/op	   16776 B/op	      18 allocs/op
BenchmarkSign/ML-DSA-44-12          	   72262	     79612 ns/op	   16776 B/op	      18 allocs/op
BenchmarkSign/ML-DSA-65-12          	   47324	    122128 ns/op	   21768 B/op	      18 allocs/op
BenchmarkSign/ML-DSA-65-12          	   43449	    124546 ns/op	   21768 B/op	      18 allocs/op
BenchmarkSign/ML-DSA-65-12          	   48590	    125533 ns/op	   21768 B/op	      18 allocs/op
BenchmarkSign/ML-DSA-65-12          	   49357	    128786 ns/op	   21768 B/op	      18 allocs/op
BenchmarkSign/ML-DSA-65-12          	   48640	    125351 ns/op	   21768 B/op	      18 allocs/op
BenchmarkSign/ML-DSA-65-12          	   49248	    129961 ns/op	   21768 B/op	      18 allocs/op
BenchmarkSign/ML-DSA-65-12          	   48909	    127129 ns/op	   21768 B/op	      18 allocs/op
BenchmarkSign/ML-DSA-65-12          	   50484	    121842 ns/op	   21768 B/op	      18 allocs/op
BenchmarkSign/ML-DSA-65-12          	   49099	    126978 ns/op	   21768 B/op	      18 allocs/op
