goos: linux
goarch: amd64
pkg: github.com/qursa-uc3m/dnssec_pqc_plugin/bench
cpu: 12th Gen Intel(R) Core(TM) i5-12500T
BenchmarkSign
BenchmarkSign/RSA-SHA256
BenchmarkSign/RSA-SHA256-12         	       1	   2005003 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1555016 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1363993 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1455284 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1683991 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1429357 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1561761 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1599985 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1250083 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1007410 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    970602 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1271108 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1690213 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1242685 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1489206 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1535951 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    923260 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    927707 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    866101 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1004099 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1161122 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    922747 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    901735 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   2001554 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    991178 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    858783 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    879627 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    839176 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   2086258 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    937458 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1426592 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    923455 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1458821 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1223405 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    918562 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1110928 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1218054 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1077346 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    954476 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1606815 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1063724 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1146716 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1208611 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1120003 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1414072 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1091030 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1107487 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1325901 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    828065 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    845320 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    803126 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    997069 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1531742 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1260892 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    852056 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1188473 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    853192 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1293279 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1413147 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    829439 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1454258 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1054102 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    984106 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    892592 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    872141 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1147050 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    912309 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    939897 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    864092 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1093446 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    824116 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    848602 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    939136 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    895903 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1026825 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1440082 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1351145 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1066983 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1232276 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1197500 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    920720 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1436711 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1383565 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1374450 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1026965 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1443444 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1145357 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1354640 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1965345 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1207287 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    881393 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1174238 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    945729 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    869537 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	   1495388 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    842941 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    906692 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    839763 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    856530 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/RSA-SHA256-12         	       1	    785923 ns/op	    6216 B/op	      20 allocs/op
BenchmarkSign/ECDSA-P256
BenchmarkSign/ECDSA-P256-12         	       1	    148066 ns/op	    7936 B/op	      67 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     92763 ns/op	    7584 B/op	      59 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     78586 ns/op	    7600 B/op	      59 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     65862 ns/op	    7568 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     78085 ns/op	    7584 B/op	      59 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     49900 ns/op	    7600 B/op	      59 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	    178373 ns/op	    7584 B/op	      59 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     46912 ns/op	    7600 B/op	      60 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     68889 ns/op	    7568 B/op	      59 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     57191 ns/op	    7568 B/op	      59 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     40254 ns/op	    7584 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     43355 ns/op	    7600 B/op	      59 allocs/op
