algorithm,run,ns_per_op
RSA-SHA256,0,2005003.0
RSA-SHA256,1,1555016.0
RSA-SHA256,2,1363993.0
RSA-SHA256,3,1455284.0
RSA-SHA256,4,1683991.0
RSA-SHA256,5,1429357.0
RSA-SHA256,6,1561761.0
RSA-SHA256,7,1599985.0
RSA-SHA256,8,1250083.0
RSA-SHA256,9,1007410.0
RSA-SHA256,10,970602.0
RSA-SHA256,11,1271108.0
RSA-SHA256,12,1690213.0
RSA-SHA256,13,1242685.0
RSA-SHA256,14,1489206.0
RSA-SHA256,15,1535951.0
RSA-SHA256,16,923260.0
RSA-SHA256,17,927707.0
RSA-SHA256,18,866101.0
RSA-SHA256,19,1004099.0
RSA-SHA256,20,1161122.0
RSA-SHA256,21,922747.0
RSA-SHA256,22,901735.0
RSA-SHA256,23,2001554.0
RSA-SHA256,24,991178.0
RSA-SHA256,25,858783.0
RSA-SHA256,26,879627.0
RSA-SHA256,27,839176.0
RSA-SHA256,28,2086258.0
RSA-SHA256,29,937458.0
RSA-SHA256,30,1426592.0
RSA-SHA256,31,923455.0
RSA-SHA256,32,1458821.0
RSA-SHA256,33,1223405.0
RSA-SHA256,34,918562.0
RSA-SHA256,35,1110928.0
RSA-SHA256,36,1218054.0
RSA-SHA256,37,1077346.0
RSA-SHA256,38,954476.0
RSA-SHA256,39,1606815.0
RSA-SHA256,40,1063724.0
RSA-SHA256,41,1146716.0
RSA-SHA256,42,1208611.0
RSA-SHA256,43,1120003.0
RSA-SHA256,44,1414072.0
RSA-SHA256,45,1091030.0
RSA-SHA256,46,1107487.0
RSA-SHA256,47,1325901.0
RSA-SHA256,48,828065.0
RSA-SHA256,49,845320.0
RSA-SHA256,50,803126.0
RSA-SHA256,51,997069.0
RSA-SHA256,52,1531742.0
RSA-SHA256,53,1260892.0
RSA-SHA256,54,852056.0
RSA-SHA256,55,1188473.0
RSA-SHA256,56,853192.0
RSA-SHA256,57,1293279.0
RSA-SHA256,58,1413147.0
RSA-SHA256,59,829439.0
RSA-SHA256,60,1454258.0
RSA-SHA256,61,1054102.0
RSA-SHA256,62,984106.0
RSA-SHA256,63,892592.0
RSA-SHA256,64,872141.0
RSA-SHA256,65,1147050.0
RSA-SHA256,66,912309.0
RSA-SHA256,67,939897.0
RSA-SHA256,68,864092.0
RSA-SHA256,69,1093446.0
RSA-SHA256,70,824116.0
RSA-SHA256,71,848602.0
RSA-SHA256,72,939136.0
RSA-SHA256,73,895903.0
RSA-SHA256,74,1026825.0
RSA-SHA256,75,1440082.0
RSA-SHA256,76,1351145.0
RSA-SHA256,77,1066983.0
